ID,type,lng,lat,first_receive_tm,last_receive_tm,service_time,reward,unit_charging_cost,charge_rate_kwh_per_hour
55,c,35.0,15.0,25.0,300.0,6.0,18.0,0.0,0.0
56,c,72.0,68.0,32.0,308.0,7.0,16.0,0.0,0.0
57,c,9.0,21.0,39.0,316.0,8.0,14.0,0.0,0.0
58,c,46.0,74.0,46.0,324.0,9.0,11.0,0.0,0.0
59,c,83.0,27.0,53.0,332.0,10.0,18.0,0.0,0.0
60,c,20.0,80.0,60.0,340.0,1.0,19.0,0.0,0.0
61,c,57.0,33.0,67.0,348.0,2.0,20.0,0.0,0.0
62,c,94.0,86.0,74.0,356.0,3.0,15.0,0.0,0.0
63,c,31.0,39.0,81.0,364.0,4.0,12.0,0.0,0.0
64,c,68.0,92.0,88.0,372.0,5.0,13.0,0.0,0.0
65,c,5.0,45.0,95.0,380.0,6.0,15.0,0.0,0.0
66,c,42.0,98.0,102.0,388.0,7.0,19.0,0.0,0.0
67,c,79.0,51.0,109.0,396.0,8.0,20.0,0.0,0.0
68,c,16.0,4.0,116.0,404.0,9.0,19.0,0.0,0.0
69,c,53.0,57.0,123.0,412.0,10.0,12.0,0.0,0.0
70,c,90.0,10.0,130.0,420.0,1.0,14.0,0.0,0.0
71,c,27.0,63.0,137.0,428.0,2.0,11.0,0.0,0.0
72,c,64.0,16.0,144.0,436.0,3.0,20.0,0.0,0.0
73,c,1.0,69.0,151.0,444.0,4.0,17.0,0.0,0.0
74,c,38.0,22.0,158.0,452.0,5.0,14.0,0.0,0.0
75,c,75.0,75.0,165.0,460.0,6.0,15.0,0.0,0.0
76,c,12.0,28.0,172.0,468.0,7.0,20.0,0.0,0.0
77,c,49.0,81.0,179.0,476.0,8.0,13.0,0.0,0.0
78,c,86.0,34.0,6.0,304.0,9.0,10.0,0.0,0.0
79,c,23.0,87.0,13.0,312.0,10.0,16.0,0.0,0.0
80,c,60.0,40.0,20.0,240.0,1.0,18.0,0.0,0.0
81,c,97.0,93.0,27.0,248.0,2.0,19.0,0.0,0.0
82,c,34.0,46.0,34.0,256.0,3.0,14.0,0.0,0.0
83,c,71.0,99.0,41.0,264.0,4.0,10.0,0.0,0.0
84,c,8.0,52.0,48.0,272.0,5.0,16.0,0.0,0.0
85,c,45.0,5.0,55.0,280.0,6.0,12.0,0.0,0.0
86,c,82.0,58.0,62.0,288.0,7.0,19.0,0.0,0.0
87,c,19.0,11.0,69.0,296.0,8.0,11.0,0.0,0.0
88,c,56.0,64.0,76.0,304.0,9.0,13.0,0.0,0.0
89,c,93.0,17.0,83.0,312.0,10.0,16.0,0.0,0.0
90,c,30.0,70.0,90.0,320.0,1.0,17.0,0.0,0.0
91,c,67.0,23.0,97.0,328.0,2.0,17.0,0.0,0.0
92,c,4.0,76.0,104.0,336.0,3.0,20.0,0.0,0.0
93,c,41.0,29.0,111.0,344.0,4.0,14.0,0.0,0.0
94,c,78.0,82.0,118.0,352.0,5.0,12.0,0.0,0.0
95,c,15.0,35.0,125.0,360.0,6.0,14.0,0.0,0.0
96,c,52.0,88.0,132.0,368.0,7.0,10.0,0.0,0.0
97,c,89.0,41.0,139.0,376.0,8.0,13.0,0.0,0.0
98,c,26.0,94.0,146.0,384.0,9.0,11.0,0.0,0.0
99,c,63.0,47.0,153.0,392.0,10.0,14.0,0.0,0.0
100,c,0.0,0.0,160.0,400.0,1.0,15.0,0.0,0.0
101,c,37.0,53.0,167.0,408.0,2.0,20.0,0.0,0.0
102,c,74.0,6.0,174.0,416.0,3.0,18.0,0.0,0.0
103,c,11.0,59.0,1.0,244.0,4.0,11.0,0.0,0.0
104,c,48.0,12.0,8.0,252.0,5.0,11.0,0.0,0.0
105,c,85.0,65.0,15.0,260.0,6.0,14.0,0.0,0.0
106,c,22.0,18.0,22.0,268.0,7.0,20.0,0.0,0.0
107,c,59.0,71.0,29.0,276.0,8.0,14.0,0.0,0.0
108,c,96.0,24.0,36.0,284.0,9.0,13.0,0.0,0.0
109,c,33.0,77.0,43.0,292.0,10.0,11.0,0.0,0.0
110,c,70.0,30.0,50.0,300.0,1.0,17.0,0.0,0.0
111,c,7.0,83.0,57.0,308.0,2.0,10.0,0.0,0.0
112,c,44.0,36.0,64.0,316.0,3.0,15.0,0.0,0.0
113,c,81.0,89.0,71.0,324.0,4.0,10.0,0.0,0.0
114,c,18.0,42.0,78.0,332.0,5.0,12.0,0.0,0.0
115,c,55.0,95.0,85.0,340.0,6.0,19.0,0.0,0.0
116,c,92.0,48.0,92.0,348.0,7.0,20.0,0.0,0.0
117,c,29.0,1.0,99.0,356.0,8.0,18.0,0.0,0.0
118,c,66.0,54.0,106.0,364.0,9.0,20.0,0.0,0.0
119,c,3.0,7.0,113.0,372.0,10.0,18.0,0.0,0.0
120,c,40.0,60.0,120.0,380.0,1.0,15.0,0.0,0.0
121,c,77.0,13.0,127.0,388.0,2.0,19.0,0.0,0.0
122,c,14.0,66.0,134.0,396.0,3.0,18.0,0.0,0.0
123,c,51.0,19.0,141.0,404.0,4.0,14.0,0.0,0.0
124,c,88.0,72.0,148.0,412.0,5.0,14.0,0.0,0.0
125,c,25.0,25.0,155.0,420.0,6.0,16.0,0.0,0.0
126,c,62.0,78.0,162.0,428.0,7.0,18.0,0.0,0.0
127,c,99.0,31.0,169.0,436.0,8.0,15.0,0.0,0.0
128,c,36.0,84.0,176.0,444.0,9.0,14.0,0.0,0.0
129,c,73.0,37.0,3.0,272.0,10.0,15.0,0.0,0.0
130,c,10.0,90.0,10.0,280.0,1.0,16.0,0.0,0.0
131,c,47.0,43.0,17.0,288.0,2.0,10.0,0.0,0.0
132,c,84.0,96.0,24.0,296.0,3.0,11.0,0.0,0.0
133,c,21.0,49.0,31.0,304.0,4.0,18.0,0.0,0.0
134,c,58.0,2.0,38.0,312.0,5.0,10.0,0.0,0.0
135,c,95.0,55.0,45.0,320.0,6.0,15.0,0.0,0.0
136,c,32.0,8.0,52.0,328.0,7.0,16.0,0.0,0.0
137,c,69.0,61.0,59.0,336.0,8.0,19.0,0.0,0.0
138,c,6.0,14.0,66.0,344.0,9.0,20.0,0.0,0.0
139,c,43.0,67.0,73.0,352.0,10.0,15.0,0.0,0.0
140,c,80.0,20.0,80.0,360.0,1.0,17.0,0.0,0.0
141,c,17.0,73.0,87.0,368.0,2.0,17.0,0.0,0.0
142,c,54.0,26.0,94.0,376.0,3.0,11.0,0.0,0.0
143,c,91.0,79.0,101.0,384.0,4.0,20.0,0.0,0.0
144,c,28.0,32.0,108.0,392.0,5.0,19.0,0.0,0.0
145,c,65.0,85.0,115.0,400.0,6.0,11.0,0.0,0.0
146,c,2.0,38.0,122.0,408.0,7.0,19.0,0.0,0.0
147,c,39.0,91.0,129.0,416.0,8.0,18.0,0.0,0.0
148,c,76.0,44.0,136.0,424.0,9.0,17.0,0.0,0.0
149,c,13.0,97.0,143.0,432.0,10.0,17.0,0.0,0.0
150,c,50.0,50.0,150.0,440.0,1.0,18.0,0.0,0.0
151,c,87.0,3.0,157.0,448.0,2.0,10.0,0.0,0.0
152,c,24.0,56.0,164.0,456.0,3.0,16.0,0.0,0.0
153,c,61.0,9.0,171.0,464.0,4.0,19.0,0.0,0.0
154,c,98.0,62.0,178.0,472.0,5.0,18.0,0.0,0.0
155,c,35.0,15.0,5.0,300.0,6.0,11.0,0.0,0.0
156,c,72.0,68.0,12.0,308.0,7.0,16.0,0.0,0.0
157,c,9.0,21.0,19.0,316.0,8.0,10.0,0.0,0.0
158,c,46.0,74.0,26.0,324.0,9.0,18.0,0.0,0.0
159,c,83.0,27.0,33.0,332.0,10.0,17.0,0.0,0.0
160,c,20.0,80.0,40.0,260.0,1.0,19.0,0.0,0.0
161,c,57.0,33.0,47.0,268.0,2.0,19.0,0.0,0.0
162,c,94.0,86.0,54.0,276.0,3.0,10.0,0.0,0.0
163,c,31.0,39.0,61.0,284.0,4.0,15.0,0.0,0.0
164,c,68.0,92.0,68.0,292.0,5.0,11.0,0.0,0.0
165,c,5.0,45.0,75.0,300.0,6.0,18.0,0.0,0.0
166,c,42.0,98.0,82.0,308.0,7.0,19.0,0.0,0.0
167,c,79.0,51.0,89.0,316.0,8.0,18.0,0.0,0.0
168,c,16.0,4.0,96.0,324.0,9.0,17.0,0.0,0.0
169,c,53.0,57.0,103.0,332.0,10.0,17.0,0.0,0.0
170,c,90.0,10.0,110.0,340.0,1.0,19.0,0.0,0.0
171,c,27.0,63.0,117.0,348.0,2.0,13.0,0.0,0.0
172,c,64.0,16.0,124.0,356.0,3.0,19.0,0.0,0.0
173,c,1.0,69.0,131.0,364.0,4.0,14.0,0.0,0.0
174,c,38.0,22.0,138.0,372.0,5.0,14.0,0.0,0.0
175,c,75.0,75.0,145.0,380.0,6.0,10.0,0.0,0.0
176,c,12.0,28.0,152.0,388.0,7.0,12.0,0.0,0.0
177,c,49.0,81.0,159.0,396.0,8.0,12.0,0.0,0.0
178,c,86.0,34.0,166.0,404.0,9.0,10.0,0.0,0.0
179,c,23.0,87.0,173.0,412.0,10.0,18.0,0.0,0.0
180,c,60.0,40.0,0.0,240.0,1.0,10.0,0.0,0.0
181,c,97.0,93.0,7.0,248.0,2.0,17.0,0.0,0.0
182,c,34.0,46.0,14.0,256.0,3.0,20.0,0.0,0.0
183,c,71.0,99.0,21.0,264.0,4.0,10.0,0.0,0.0
184,c,8.0,52.0,28.0,272.0,5.0,14.0,0.0,0.0
185,c,45.0,5.0,35.0,280.0,6.0,15.0,0.0,0.0
186,c,82.0,58.0,42.0,288.0,7.0,12.0,0.0,0.0
187,c,19.0,11.0,49.0,296.0,8.0,13.0,0.0,0.0
188,c,56.0,64.0,56.0,304.0,9.0,12.0,0.0,0.0
189,c,93.0,17.0,63.0,312.0,10.0,12.0,0.0,0.0
190,c,30.0,70.0,70.0,320.0,1.0,14.0,0.0,0.0
191,c,67.0,23.0,77.0,328.0,2.0,12.0,0.0,0.0
192,c,4.0,76.0,84.0,336.0,3.0,13.0,0.0,0.0
193,c,41.0,29.0,91.0,344.0,4.0,13.0,0.0,0.0
194,c,78.0,82.0,98.0,352.0,5.0,20.0,0.0,0.0
195,c,15.0,35.0,105.0,360.0,6.0,12.0,0.0,0.0
196,c,52.0,88.0,112.0,368.0,7.0,20.0,0.0,0.0
197,c,89.0,41.0,119.0,376.0,8.0,11.0,0.0,0.0
198,c,26.0,94.0,126.0,384.0,9.0,14.0,0.0,0.0
199,c,63.0,47.0,133.0,392.0,10.0,16.0,0.0,0.0
200,c,0.0,0.0,140.0,400.0,1.0,16.0,0.0,0.0
201,f,24.39,39.22,0.0,999.0,0.0,0.0,0.557,194.6
202,f,16.96,59.25,0.0,999.0,0.0,0.0,0.525,192.6
203,f,95.53,74.19,0.0,999.0,0.0,0.0,0.458,91.4
204,f,61.25,18.18,0.0,999.0,0.0,0.0,0.583,116.5
205,f,87.48,1.98,0.0,999.0,0.0,0.0,0.402,100.4
206,f,80.12,4.65,0.0,999.0,0.0,0.0,0.401,186.3
207,f,68.91,20.5,0.0,999.0,0.0,0.0,0.574,134.6
208,f,76.2,30.97,0.0,999.0,0.0,0.0,0.516,129.6
209,f,24.92,74.63,0.0,999.0,0.0,0.0,0.416,187.5
210,f,10.56,38.86,0.0,999.0,0.0,0.0,0.555,119.1
211,f,52.62,53.11,0.0,999.0,0.0,0.0,0.405,176.7
212,f,83.74,43.72,0.0,999.0,0.0,0.0,0.472,144.3
213,f,63.98,9.02,0.0,999.0,0.0,0.0,0.551,85.1
214,f,53.96,19.42,0.0,999.0,0.0,0.0,0.484,184.7
215,f,3.05,8.14,0.0,999.0,0.0,0.0,0.539,87.1
216,f,41.9,6.89,0.0,999.0,0.0,0.0,0.535,152.4
217,f,37.44,29.61,0.0,999.0,0.0,0.0,0.57,152.1
218,f,56.97,4.99,0.0,999.0,0.0,0.0,0.488,121.1
219,f,2.75,79.7,0.0,999.0,0.0,0.0,0.597,103.5
220,f,56.64,80.04,0.0,999.0,0.0,0.0,0.597,189.9
221,f,7.55,87.85,0.0,999.0,0.0,0.0,0.422,149.6
222,f,14.73,57.73,0.0,999.0,0.0,0.0,0.448,186.6
223,f,45.89,45.29,0.0,999.0,0.0,0.0,0.528,134.5
224,f,75.7,40.09,0.0,999.0,0.0,0.0,0.582,117.2
225,f,64.77,63.96,0.0,999.0,0.0,0.0,0.447,179.4
226,f,91.73,89.16,0.0,999.0,0.0,0.0,0.516,87.0
227,f,88.61,54.0,0.0,999.0,0.0,0.0,0.559,102.0
228,f,17.81,17.16,0.0,999.0,0.0,0.0,0.528,118.9
229,f,67.75,37.29,0.0,999.0,0.0,0.0,0.459,83.5
230,f,31.99,43.63,0.0,999.0,0.0,0.0,0.572,120.1
231,f,92.29,66.25,0.0,999.0,0.0,0.0,0.567,186.4
232,f,1.85,41.69,0.0,999.0,0.0,0.0,0.522,107.6
233,f,60.87,25.3,0.0,999.0,0.0,0.0,0.535,111.9
234,f,39.39,41.28,0.0,999.0,0.0,0.0,0.558,194.8
235,f,41.43,30.96,0.0,999.0,0.0,0.0,0.469,169.3
236,f,65.47,37.68,0.0,999.0,0.0,0.0,0.531,174.6
237,f,5.68,56.27,0.0,999.0,0.0,0.0,0.525,104.9
238,f,33.47,80.77,0.0,999.0,0.0,0.0,0.404,131.3
239,f,53.33,77.14,0.0,999.0,0.0,0.0,0.576,184.9
240,f,57.01,67.86,0.0,999.0,0.0,0.0,0.471,180.5
241,f,85.18,46.88,0.0,999.0,0.0,0.0,0.575,189.4
242,f,18.96,11.81,0.0,999.0,0.0,0.0,0.597,109.2
243,f,0.63,41.96,0.0,999.0,0.0,0.0,0.542,97.6
244,f,32.4,28.12,0.0,999.0,0.0,0.0,0.508,132.0
245,f,50.84,2.4,0.0,999.0,0.0,0.0,0.422,161.0
246,f,81.86,29.85,0.0,999.0,0.0,0.0,0.446,181.2
247,f,93.24,23.03,0.0,999.0,0.0,0.0,0.576,120.6
248,f,21.49,2.4,0.0,999.0,0.0,0.0,0.544,122.8
249,f,36.02,41.81,0.0,999.0,0.0,0.0,0.428,167.6
250,f,22.77,25.55,0.0,999.0,0.0,0.0,0.528,145.7
